Titre;Réalisateur;Date de sortie;Synopsis;Note Presse;Note Spectateurs;Score Recommandation;Amazon Prime Video;Canal VOD;Canal+;Disney+;Netflix;OCS;Paramount+;URL
The Town;Ben Affleck;15 septembre 2010;Doug MacRay est un criminel impénitent, le leader de facto d’une impitoyable bande de braqueurs de banque qui s’ennorgueillit de voler à leur gré sans se faire prendre. Sans attaches particulières, Doug ne craint jamais la perte d’un être cher. Mais tout va changer le jour où, lors du dernier casse de la bande, ils prennent en otage la directrice de la banque, Claire Keesey. Bien qu’ils l’aient relâchée indemne, Claire est nerveuse car elle sait que les voleurs connaissent son nom… et savent où elle habite. Mais elle baisse la garde le jour où elle rencontre un homme discret et plutôt charmant du nom de Doug….ne réalisant pas qu’il est celui qui, quelques jours plus tôt, l’avait terrorisée. L’attraction instantanée entre eux va se transformer graduellement en une romance passionnée qui menacera de les entraîner tous deux sur un chemin dangereux et potentiellement mortel.;3.5;3.9;53;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=82376.html
Les Enchaînés;Alfred Hitchcock;19 mars 1948;Alicia, fille d'un espion nazi, mène une vie dépravée. Devlin lui propose de travailler pour les États-Unis afin de réhabiliter son nom. Elle épouse donc un ancien ami de son père afin de l'espionner. Devlin et Alicia s'aiment sans oser se l'avouer, attendant chacun que l'autre fasse le premier pas. Lorsque le double jeu d'Alicia est découvert, son mari décide de l'empoisonner.;5.0;4.1;73;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=3748.html
The Perfect Candidate;Haifaa Al Mansour;12 août 2020;Maryam est médecin dans la clinique d'une petite ville d'Arabie saoudite. Alors qu'elle veut se rendre à Riyad pour candidater à un poste de chirurgien dans un grand hôpital, elle se voit refuser le droit de prendre l’avion.Célibataire, il lui faut une autorisation à jour signée de son père, malheureusement absent. Révoltée par cette interdiction de voyager, elle décide de se présenter aux élections municipales de sa ville.Mais comment une femme peut-elle faire campagne dans ce pays ?;3.3;2.9;49;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=256474.html
Pour une poignée de dollars;Sergio Leone;1 mars 1966;Deux bandes rivales, les Baxter, trafiquants d'armes, et les Rojo, qui font de la contrebande d'alcool, se disputent la suprématie et la domination de la ville de San Miguel, au sud de la frontière américano-mexicaine. Un étranger, vêtu d'un poncho, arrive à dos de mulet dans cette petite ville et s'immisce entre les deux bandes. Proposant d'abord ses services aux Rojo, l'étranger va très vite tirer profit des deux camps à la fois, à la grande joie du fabricant de cercueils Piripero.;2.6;4.2;72;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=100714.html
Le Retour de l'inspecteur Harry;Clint Eastwood;22 août 1984;Violée dans sa jeunesse par une bande de brutes de la petite ville de San Paulo, l'artiste peintre Jennifer Spencer décide de retrouver chacun de ses agresseurs et de les tuer. Excédée par ses méthodes et soucieuse d'éviter les foudres de la presse, l'administration policière décide d'envoyer l'inspecteur Harry Callahan loin de San Fransisco. Chargé d'enquêter sur un meurtre à San Paulo, il va faire la connaissance de Jennifer...;3.6;--;62;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=389.html
C'est Arrivé Près de Chez Vous;Remy Belvaux;4 novembre 1992;Faux documentaire où une équipe de journalistes suit Ben, un tueur, qui s'attaque plus particulièrement aux personnes âgées et aux personnes de classes moyennes. Peu à peu les journalistes vont prendre part aux crimes de Ben.;2.8;3.9;50;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=7383.html
Wild Wild West;Barry Sonnenfeld;4 août 1999;1869. Pour neutraliser son plus puissant ennemi, le démoniaque et richissime Dr Arliss Loveless, le président des États-Unis désigne deux agents spéciaux, James West et Artemus Gordon, choisis pour leurs compétences exceptionnelles. Si James West est un champion de l'humour à froid, charmeur et rusé, Artemus, lui, prône la réflexion et passe son temps à inventer des gadgets sophistiqués. Quelque peu rivaux, les deux agents vont devoir unir leur talent pour capturer l'infame Loveless. Rita Escobar, belle et mystérieuse artiste, se joint à eux.;3.4;2.3;31;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=20290.html
Legend;Ridley Scott;28 août 1985;Lili, jeune et jolie princesse, est convoitée à la fois par Jack, jeune homme proche de la nature, et par Darkness, véritable incarnation du mal, qui ne rêve que de plonger le monde dans une nuit éternelle en tuant les deux licornes protectrices. Avec l'aide du lutin Gump et de ses acolytes Screwball et Tom Brown, Jack se lance dans une quête désespérée pour mettre fin aux agissements du démon et empêcher la transformation de Lili en créature perverse.;3.1;--;53;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=541.html
Prisoners;Denis Villeneuve;9 octobre 2013;Dans la banlieue de Boston, deux fillettes de 6 ans, Anna et Joy, ont disparu. Le détective Loki privilégie la thèse du kidnapping suite au témoignage de Keller, le père d’Anna. Le suspect numéro 1 est rapidement arrêté mais est relâché quelques jours plus tard faute de preuve, entrainant la fureur de Keller. Aveuglé par sa douleur, le père dévasté se lance alors dans une course contre la montre pour retrouver les enfants disparus. De son côté, Loki essaie de trouver des indices pour arrêter le coupable avant que Keller ne commette l’irréparable… Les jours passent et les chances de retrouver les fillettes s’amenuisent…;3.8;4.3;58;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=180887.html
La Vérité;Henri-Georges Clouzot;2 novembre 1960;Dominique comparaît aux assises pour le meurtre de son amant, Gilbert, fiancé de sa soeur Annie. Elle doit se battre contre l'avocat, qui tente de ternir, contre son gré, la mémoire de Gilbert, et contre le procureur, qui essaie de la faire passer pour un monstre sans coeur aux yeux du jury... .;4.9;4.4;65;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=3227.html
Le Voleur;Louis Malle;22 février 1967;1890. Une nuit, Georges Randa décide de revenir sur sa carrière de voleur. Orphelin sous la tutelle de son oncle, il revient à Paris, où il pense épouser Charlotte, sa cousine. Ne l'attendent que ses désillusions : l'oncle a détourné sa fortune et sa cousine est promise à un autre. Par dépit et par vengeance, il vole des bijoux et s'enfuit. Georges rencontre l'abbé La Margelle qui dirige une bande de truands, à Bruxelles. Il devient rapidement une figure importante des milieux interlopes.;5.0;3.9;67;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=63944.html
Max et les Ferrailleurs;Claude Sautet;17 février 1971;Un policier décide d'arrêter une bande de malfrats amateurs. Il leur tend un piège afin de pouvoir les surprendre en flagrant délit.;3.9;--;61;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=5367.html
Elle;Blake Edwards;14 février 1980;George Weber, riche compositeur de chansons à succès, vient d'avoir quarante-deux ans. Hanté par l'idée du vieillissement, il se sent trahi par la vie. Cela ne l'empêche pas de courir avec quelque extravagance après Jenny Miles, une jeune beauté récemment mariée, et de délaisser Samantha Taylor, sa plus que charmante maîtresse. Tout cela est-il bien raisonnable ?...;3.0;--;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=36002.html
Le Voyage de Mr Perrichon;Eric Lavaine;Non disponible;1860. Monsieur Perrichon est l'archétype de l'honnête bourgeois : commerçant enrichi, enflé de vanité, de suffisance, d'ambition mondaine et d'une morale quelque peu soumise aux circonstances. Il se retire des affaires et pour l’occasion, emmène sa femme et sa fille Henriette en voyage d’agrément sur le Mont-Blanc. Deux prétendants Daniel et Armand pistent la famille jusqu’au refuge d’altitude. Les Perrichon n’imaginent pas que les deux jeunes hommes donneront à ce séjour une tournure invraisemblable aux rebonds multiples : Armand sauvera du précipice M. Perrichon qui à son tour protègera du danger Daniel, le parfait flatteur et le plus apprécié... Lequel des deux obtiendra la précieuse main d'Henriette ?;3.3;--;Non disponible;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=233809.html
Les Apparences;Marc Fitoussi;23 septembre 2020;Librement adapté du roman Trahie de Karin AlvtegenVienne, ses palais impériaux, son Danube bleu et… sa microscopique communauté française. Jeune couple en vue, Ève et Henri, parents d’un petit Malo, ont tout pour être heureux. Lui est le chef d’orchestre de l’Opéra, elle travaille à l’Institut français. Une vie apparemment sans fausse note, jusqu’au jour où Henri succombe au charme de l’institutrice de leur fils.;3.2;3.0;39;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=273261.html
J’irai mourir dans les Carpates;Antoine de Maximy;16 septembre 2020;"L’histoire commence par un banal accident de voiture sur une route montagneuse des Carpates. La voiture d'Antoine de Maximy, le présentateur de la série ""J'irai dormir chez vous"" a été emportée dans une rivière et son corps n’a pas été retrouvé. Le matériel et les images du globe-squatteur sont rapatriés à Paris. Agnès, la monteuse de la série, décide de terminer ce dernier épisode. Après avoir visionné les images elle s’attaque au montage du film. Mais des détails attirent l'attention d'Agnès. Petit à petit le doute s'insinue. L’histoire n’est peut-être pas aussi simple...";2.5;3.6;52;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=274282.html
La Ferme des animaux;John Halas;22 décembre 1993;Lassés des mauvais traitements, les animaux de la ferme de M. Jones décident de prendre le pouvoir et instaurent une nouvelle société fondée sur un principe d’égalité entre tous les animaux. Mais quelques uns des “quatre pattes” décident que certains sont plus égaux que d’autres...;3.8;3.7;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=109030.html
Mayrig;Henri Verneuil;15 janvier 1992;Azad Zakarian est né en Arménie, le 11 mai 1915, l'année du premier génocide du XXe siècle. Son père Hagop, sa mère Araxi et ses deux tantes Anna et Gayane débarquent à Marseille un matin de 1921. Azad a 6 ans. Après l'exil, ils vont devoir faire face aux difficultés de l'intégration. Azad se souvient...;4.1;--;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=30479.html
I... comme Icare;Henri Verneuil;19 décembre 1979;A la suite de la mort d'un Président d'un Etat fictif, le procureur Henri Volney qui s'est penché sur ce décès refuse les conclusions de l'enquête. Il parvient à interroger un témoin qui lui dévoile la part d'ombre de cette histoire, mais les auteurs du meurtre ne souhaitent pas qu'il découvre la vérité.;4.0;--;75;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=24712.html
Les Traducteurs;Regis Roinsard;29 janvier 2020;Isolés dans une luxueuse demeure sans aucun contact possible avec l'extérieur, neuf traducteurs sont rassemblés pour traduire le dernier tome d'un des plus grands succès de la littérature mondiale. Mais lorsque les dix premières pages du roman sont publiées sur internet et qu'un pirate menace de dévoiler la suite si on ne lui verse pas une rançon colossale, une question devient obsédante : d'où vient la fuite ?;2.9;3.3;51;;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=261613.html
Les Lois de l'attraction;Roger Avary;12 mars 2003;Au Camden College, l'essentiel de la vie des étudiants ne se déroule pas pendant les cours. Dans cet univers de fêtes et de débauche, Sean Bateman n'a pas usurpé sa réputation de tombeur. Une bonne partie des jeunes filles du campus peuvent en témoigner personnellement.Paul Denton, lui, affiche au grand jour son homosexualité, mais il a du mal à se trouver des partenaires.Lauren Hynde, pour sa part, est sublime. Elle n'en abuse pas encore. Elle est trop occupée à chercher sa place dans ce monde libertaire qui obéit tout entier aux lois de l'attraction...;3.5;3.0;31;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=43925.html
L'Empire des sens;Nagisa Oshima;15 septembre 1976;1936, dans les quartiers bourgeois de Tokyo. Sada Abe, ancienne prostituée devenue domestique, aime épier les ébats amoureux de ses maîtres et soulager de temps à autre les vieillards vicieux. Son patron Kichizo, bien que marié, va bientôt manifester son attirance pour elle et va l'entraîner dans une escalade érotique qui ne connaîtra plus de bornes.;3.2;--;45;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=106082.html
Bons baisers de Russie;Terence Young;30 juillet 1964;En pleine guerre froide, James Bond se voit confier la mission de faire passer à l'Ouest une jeune femme russe nommée Tatiana Romanova ainsi qu'un lecteur de déchiffrement conçu par les Soviétiques. Cependant, cela s'avère être un piège tendu par l'organisation criminelle du SPECTRE, qui entend venger la mort du Dr. No et s'emparer du lecteur…;3.7;--;63;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2019.html
Le Transporteur;Corey Yuen;23 octobre 2002;"Pour les livraisons à haut risque, Frank est toujours là. Comme les autres, il obéit aux trois règles d'or : ne poser aucune question, ne pas ouvrir les colis et ne pas enfreindre les deux premières au risque d'y trouver la mort.Mais cette fois-ci, Frank a ouvert le sac posé dans son coffre et a découvert une jeune femme se nommant Lai. Face à ce cas de conscience et à une sombre affaire de trafic humain, il ne va plus pouvoir fermer les yeux et décide d'aider ce ""colis"" un peu spécial.";2.9;2.9;40;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=38825.html
Barton Fink;Joel Coen;25 septembre 1991;En 1941, Barton Fink est un jeune auteur timide et effacé de pièces de théâtre, dont la dernière pièce est encensée par la critique à New York. Son agent le pousse à tenter sa chance à Hollywood comme scénariste sous contrat pour un studio, Capitol Pictures. Arrivé à Hollywood, le patron du studio, Jack Lipnick, lui demande de scénariser un film de série B sur le monde des lutteurs. Barton Fink accepte alors qu'il ne connait pas du tout cet univers sportif. L'auteur s'installe dans un grand hôtel suranné quasi désert et bien étrange. Dès les premières heures, l'angoisse de la page blanche envahit Barton Fink. C'est à ce moment que le jeune auteur rencontre Charlie Meadows , un étrange voisin...;5.0;3.9;49;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=7017.html
Opération Tonnerre;Terence Young;17 décembre 1965;L'organisation criminelle SPECTRE détourne un avion de l'OTAN transportant deux bombes atomiques et réclame une rançon au gouvernement britannique. L'agent secret James Bond est envoyé aux Bahamas à la recherche de Domino, la soeur du commandant Derval, qui pilotait le Vulcan. Celui-ci a en fait été tué et remplacé par un sosie. 007 découvre que l'instigateur de l'opération est un dénommé Emilio Largo, un homme riche et cruel passionné par les requins.;3.6;--;62;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2555.html
L'Enfer du dimanche;Oliver Stone;12 avril 2000;C'est la descente aux enfers pour les Miami Sharks, une équipe de football américain qui subit une série de revers. Pour se maintenir à son poste, l'entraîneur qui commence à être serieusement contesté fait jouer un débutant talentueux. A travers cette fresque sur les enjeux du football americain, le réalisateur dresse un bilan des névroses de l'Amérique.;3.4;3.5;44;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=26282.html
Sailor et Lula;David Lynch;24 septembre 1990;Sailor et Lula, deux jeunes amoureux, fuient Marietta, la mère de la jeune fille qui s'oppose à leurs amours, ainsi que toute une série de personnages dangereux et mystérieux qui les menacent. L'amour triomphera-t-il de la violence qui les entoure ?;4.0;3.7;49;;X;X;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=5981.html
American pie : marions-les !;Jesse Dylan;15 octobre 2003;"Les héros d'American Pie et American Pie 2 se préparent à le faire...Jim et Michelle vont enfin se marier. Michelle qui rêve d'un mariage ""parfait"", rameute sa famille et ses amis et embauche une demoiselle d'honneur canon : sa jeune soeur Cadence. Jim demande le concours de ses trois inséparables copains. Mais il doit avoir l'oeil sur Stifler et Finch qui se livrent une guerre sans merci pour séduire Cadence. Jim doit aussi tenter de dégeler ses beaux parents passablement coincés, et s'occuper des préparatifs de la noce. Stifler lui prépare aussi une ""bachelor party"" à marquer dans les anales...";3.0;2.3;17;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=47319.html
Seuls;David Moreau;8 février 2017;Leïla, 16 ans, se réveille en retard comme tous les matins. Sauf qu'aujourd'hui, il n'y a personne pour la presser. Où sont ses parents? Elle prend son vélo et traverse son quartier, vide. Tout le monde a disparu. Se pensant l'unique survivante d'une catastrophe inexpliquée, elle finit par croiser quatre autres jeunes: Dodji, Yvan, Camille et Terry. Ensemble, ils vont tenter de comprendre ce qui est arrivé, apprendre à survivre dans leur monde devenu hostile… Mais sont-ils vraiment seuls?;3.0;2.3;23;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=229867.html
Les compères;Francis Veber;23 novembre 1983;Tristan Martin, un adolescent de 17 ans, fait une fugue, au désespoir de sa mère Christine. Pour le retrouver, celle-ci envoie deux de ses anciens amants, en leur faisant croire que l'un d'entre eux est peut-être le père. Transportés par leur soudaine paternité, ces derniers deviennent de fins limiers.;3.5;--;59;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=28335.html
Jamais plus jamais;Irvin Kershner;30 novembre 1983;James Bond a vieilli. Il est considéré par ses supérieurs comme étant bon pour la retraite. Mais lorsque la paix du monde est menacée par une organisation criminelle, bien obligé de faire appel à 007 !;3.3;--;63;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=1348.html
Né un 4 juillet;Oliver Stone;21 février 1990;"Evocation de la terrible experience de Ron Kovic, né un 4 juillet, jour de la fête nationale américaine, excellent citoyen, Marine et engagé volontaire au Viet-nam. Il fut blessé en 1968 à la colonne vertébrale et paralysé à vie. Le film retrace sa terrible épopée pour retrouver un sens à la vie et nous conte vingt années de l'histoire américaine. En quelque sorte la suite de ""Platoon"" réalisée avec autant de soin et la participation de spécialistes des questions de guerre.";3.7;--;51;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=5455.html
Lost Highway;David Lynch;15 janvier 1997;Un bunker chic et silencieux assis sur les collines de Los Angeles. Un couple – Fred, saxophoniste dépressif et Renée – reçoit une cassette vidéo de la façade de leur maison. Puis une seconde, filmée depuis leur chambre, où on les voit dormir. Puis une dernière, qui suggère, dans un déferlement de sang, que Fred aurait assassiné Renée. ­;3.9;--;40;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=15682.html
Judy;Rupert Goold;26 février 2020;"Hiver 1968. La légendaire Judy Garland débarque à Londres pour se produire à guichets fermés au Talk of the Town. Cela fait trente ans déjà qu’elle est devenue une star planétaire grâce au Magicien d’Oz. Judy a débuté son travail d’artiste à l’âge de deux ans, cela fait maintenant plus de quatre décennies qu’elle chante pour gagner sa vie. Elle est épuisée. Alors qu’elle se prépare pour le spectacle, qu’elle se bat avec son agent, charme les musiciens et évoque ses souvenirs entre amis ; sa vivacité et sa générosité séduisent son entourage. Hantée par une enfance sacrifiée pour Hollywood, elle aspire à rentrer chez elle et à consacrer du temps à ses enfants. Aura-t-elle seulement la force d’aller de l’avant ?";3.4;3.3;50;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=260048.html
Demain ne meurt jamais;Roger Spottiswoode;17 décembre 1997;"L'agent 007, alias James Bond, a pour mission de localiser l'épave du ""Devonshire"", une frégate de la Royal Navy, perdue dans les eaux territoriales chinoises. Il doit également retrouver le coupable de l'attentat, un certain Henry Gupta, ancien gauchiste activement recherché par le FBI et, enfin, remonter jusqu'au cerveau de l'operation, Elliot Carver, propriétaire du quotidien ""Tomorrow"" et patron du plus grand empire médiatique de tous les temps.";3.2;--;54;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=82178.html
L'Arme fatale 3;Richard Donner;12 août 1992;"Roger Murtaugh, brillant sergent de la police de Los Angeles, se prépare à partir à la retraite. Mais, à la suite d'une imprudence, son coéquipier Martin Riggs dit ""Arme Fatale"" et lui-même se voient rétrogradés au rang de simple flic. Les deux amis décident alors de poursuivre pour leur propre compte une enquête qu'ils avaient engagée sur un trafic d'armes volées dans leur commissariat.";3.7;--;54;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=7625.html
La Planète des singes : les origines;Rupert Wyatt;10 août 2011;Dans un laboratoire, des scientifiques expérimentent un traitement sur des singes pour vaincre la maladie d’Alzheimer. Mais leurs essais ont des effets secondaires inattendus : ils découvrent que la substance utilisée permet d’augmenter radicalement l’activité cérébrale de leurs sujets. César, est alors le premier jeune chimpanzé faisant preuve d’une intelligence remarquable. Mais trahi par les humains qui l’entourent et en qui il avait confiance, il va mener le soulèvement de toute son espèce contre l’Homme dans un combat spectaculaire.;3.3;4.1;49;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=181716.html
Le Temps des Gitans;Emir Kusturica;15 novembre 1989;La dramatique vie de Perhan, fils naturel d'un soldat et d'une Tzigane, qui rêve d'un avenir riche et heureux. Elevé par sa grand-mère qui l'adore, il est bientôt arraché à elle et part en Italie travailler pour un trafiquant d'enfants. Il reviendra au pays mais ne réussira pas à réaliser son rêve.;5.0;3.9;61;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=31805.html
Magnum Force;Ted Post;27 février 1974;De nombreux assassinats sont commis à Los Angeles. Les victimes : des proxénètes, des trafiquants de drogue ou des criminels. L'inspecteur Harry est chargé de l'affaire. Son supérieur Briggs le déteste. Harry va bientôt découvrir pourquoi.;3.7;--;59;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=382.html
L'Homme des hautes plaines;Clint Eastwood;22 août 1973;Un étranger, tout de noir vêtu, arrive dans une petite ville frontalière du sud-ouest américain. Trois jeunes cow boys le provoquent. Il les abat tous les trois. Les habitants lui demandent alors de les sauver de l'attaque de trois bandits qui ont juré la destruction de la communauté. Il accepte mais à des conditions qui vont bouleverser le conformisme de la bourgade...;4.0;3.9;66;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=376.html
Flubber;Les Mayfield;1 avril 1998;Le professeur Brainard, qui enseigne la physique au collège de Medfield, est tellement absorbé par ses recherches qu'il a oublié par deux fois de se rendre à son propre mariage avec la douce Sara Jean Lawrence, proviseur du collège. La jeune femme lui accorde une troisième chance. Mais le jour de la noce, Brainard ne peut pas s'empêcher de tenter une nouvelle expèrience dont le resultat s'avère explosif. Au milieu de son laboratoire en ruine, le professeur vient d'inventer une nouvelle source d'énergie indéstructible qu'il baptise Flubber.;2.3;--;29;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=16875.html
Gangs of New York;Martin Scorsese;8 janvier 2003;"En 1846, le quartier de Five Points, un faubourg pauvre de New York, est le théâtre d'une guerre des gangs entre émigrants irlandais d'un côté, les Dead Rabbits menés par Père Vallon, et les Native Americans de l'autre, dirigés par le sanguinaire Bill le Boucher. Ce dernier met rapidement en déroute les Dead Rabbits en assassinant leur chef, et prend par la même occasion le contrôle exclusif des rues de la ""grosse pomme"". Afin de renforcer ses pouvoirs, Bill s'allie avec Boss Tweed, un politicien influent.Seize ans plus tard, le gang des Native Americans règne toujours en maître dans New York. Devenu adulte, Amsterdam Vallon souhaite venger la mort de son père en éliminant Bill. Mais sa rencontre avec Jenny Everdeane, une énigmatique pickpocket dont l'indépendance et la beauté le fascinent, va compliquer les choses...";4.4;4.0;54;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=28968.html
Toy Story 2;John Lasseter;2 février 2000;Woody, le cow-boy à la démarche déhanchée, reste le jouet préféré d'Andy, même si aujourd'hui Buzz partage cette amitié. Toujours chef de bande, Woody protège et rassure tous les jouets de la chambre. Kidnappé par un collectionneur sans scrupules, Woody va découvrir qu'il fut jadis une vraie star. Après maintes péripéties, il va être confronté à la décision la plus importante de sa vie: rentrer chez lui pour retrouver Andy et les jouets ou rester pour devenir une pièce rare de musée.;4.3;4.1;57;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=22323.html
Scandale;Jay Roach;22 janvier 2020;Inspiré de faits réels, SCANDALE nous plonge dans les coulisses d’une chaîne de télévision aussi puissante que controversée. Des premières étincelles à l’explosion médiatique, découvrez comment des femmes journalistes ont réussi à briser la loi du silence pour dénoncer l’inacceptable.;3.5;3.5;48;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=268490.html
Tristan & Yseult;Kevin Reynolds;5 juillet 2006;Depuis le retrait des troupes de l'Empire romain, les seigneurs anglais sont sous la menace du roi Donnchadh, souverain d'Irlande. Face à lui, Lord Marke espère unir les tribus anglaises pour enfin apporter la stabilité au grand royaume dont il rêve. Tristan a grandi à ses côtés depuis que les Irlandais ont massacré sa famille, et le jeune homme est devenu aujourd'hui son meilleur combattant.Laissé pour mort après une bataille, Tristan est recueilli et soigné secrètement par une jeune femme qui va changer le cours de son destin. La très belle Yseult est la propre fille du pire ennemi de Tristan, le roi irlandais Donnchadh. Malgré tout ce qui devrait les séparer, les deux jeunes gens vivent une passion pure à laquelle seul le retour de Tristan en Angleterre mettra fin douloureusement...;3.0;3.3;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=45638.html
Star Wars : La Guerre des Clones;Genndy Tartakovsky;12 avril 2025;Les événements survenus durant la Guerre des Clones, située entre les événéments de Star wars : épisode 2 - L'Attaque des clones et Star wars : épisode 3 - La Revanche des Sith.;3.4;--;43;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=55310.html
Django;Etienne Comar;26 avril 2017;En 1943 pendant l’occupation allemande, le tsigane Django Reinhardt, véritable “guitare héros”, est au sommet de son art. Chaque soir il fait vibrer le tout Paris aux Folies Bergères avec sa musique swing alors qu’en Europe, ses frères sont pourchassés et massacrés. Lorsque la propagande allemande veut l’envoyer à Berlin pour une série de concerts, il sent le danger et décide de s’évader en Suisse aidé par une de ses admiratrices, Louise de Klerk. Pour passer, il se rend à Thonon-les-Bains, sur les bords du lac Léman, avec sa femme enceinte, Naguine et sa mère Negros. Mais l’évasion est plus compliquée que prévue, Django et ses proches se retrouvent plongés dans la guerre. Pendant cette période dramatique, il n’en demeure pas moins un musicien exceptionnel qui résiste avec sa musique, son humour, et qui cherche à approcher la perfection musicale...;3.0;3.3;49;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=245285.html
Green Book : Sur les routes du sud;Peter Farrelly;23 janvier 2019;En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts. Durant leur périple de Manhattan jusqu’au Sud profond, ils s’appuient sur le Green Book pour dénicher les établissements accueillant les personnes de couleur, où l’on ne refusera pas de servir Shirley et où il ne sera ni humilié ni maltraité.Dans un pays où le mouvement des droits civiques commence à se faire entendre, les deux hommes vont être confrontés au pire de l’âme humaine, dont ils se guérissent grâce à leur générosité et leur humour. Ensemble, ils vont devoir dépasser leurs préjugés, oublier ce qu’ils considéraient comme des différences insurmontables, pour découvrir leur humanité commune.;4.0;4.5;76;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=256661.html
La Fameuse invasion des ours en Sicile;Lorenzo Mattotti;9 octobre 2019;Tout commence le jour où Tonio, le fils du roi des ours, est enlevé par des chasseurs dans les montagnes de Sicile… Profitant de la rigueur d’un hiver qui menace son peuple de famine, le roi décide alors d’envahir la plaine où habitent les hommes. Avec l’aide de son armée et d’un magicien, il réussit à vaincre et finit par retrouver Tonio. Mais il comprend vite que le peuple des ours n’est pas fait pour vivre au pays des hommes...;4.0;3.9;58;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=256798.html
J'ai perdu mon corps;Jérémy Clapin;6 novembre 2019;A Paris, Naoufel tombe amoureux de Gabrielle. Un peu plus loin dans la ville, une main coupée s’échappe d’un labo, bien décidée à retrouver son corps. S’engage alors une cavale vertigineuse à travers la ville, semée d’embûches et des souvenirs de sa vie jusqu’au terrible accident. Naoufel, la main, Gabrielle, tous trois retrouveront, d’une façon poétique et inattendue, le fil de leur histoire...;4.3;4.2;55;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=227493.html
